Abstract,Keywords,Processed_Abstract
" we examined the usefulness of brief neuropsychological tests and serum a as a predictive test for detecting mci / ad in older adults . 
 serum a levels were measured from 208 subjects who were cognitively normal at enrollment and blood draw . 
 twenty - eight of the subjects subsequently developed mci ( n = 18 ) or ad ( n = 10 ) over the follow - up period . 
 baseline measures of global cognition , memory , language fluency , and serum a142 and the ratio of serum a142/a140 were significant predictors for future mci / ad using cox regression with demographic variables , apoe 4 , vascular risk factors , and specific medication as covariates . an optimal sensitivity of 85.2% and specificity of 86.5% for predicting mci / ad was achieved using roc analyses . 
 brief neuropsychological tests and measurements of a142 obtained via blood warrants further study as a practical and cost effective method for wide - scale screening for identifying older adults who may be at - risk for pathological cognitive decline . ","mci, ad, a142, serum, neuropsychological",examin use brief neuropsycholog test serum predict test detect mci ad old adult serum level measur 208 subject cognit normal enrol blood draw twenti eight subject subsequ develop mci n 18 ad n 10 follow period baselin measur global cognit memori languag fluenci serum a142 ratio serum a142a140 signific predictor futur mci ad use cox regress demograph variabl apo 4 vascular risk factor specif medic covari optim sensit 852 specif 865 predict mci ad achiev use roc analys brief neuropsycholog test measur a142 obtain via blood warrant studi practic cost effect method wide scale screen identifi old adult may risk patholog cognit declin
" we compared serum polychlorinated dibenzo - p - dioxins ( pcdds ) and polychlorinated dibenzofurans ( pcdfs ) among residents of two homes to levels among age- and sex - matched comparison subjects . 
 the residents of the two homes consumed contaminated eggs and beef from animals raised at the homes . 
 the animals had greater soil contact than those raised with conventional commercial husbandry practices . 
 the comparison subjects were from a similar rural area , but did not consume home - produced beef and eggs . 
 serum levels of 2,3,7 , 8-substituted tetra- , penta- , and hexacdds and penta- , hexa- , and heptacdfs were increased between 2- and 6-fold in residents from one home ; contaminated eggs and beef were consumed by residents for 2 - 15 years . 
 elevations were less for those in the other index home , where only home - produced eggs were consumed for 2 years ; a 3-fold elevation of 1,2,3,7,8,9-hexacdd as compared to controls was most apparent . 
 very strong bivariate correlations among all of the 2,3,7 , 8 penta- and hexacdds / cdfs were observed . 
 the elevations observed verify that pcdd / pcdf - contaminated food contributed to the body burden of these compounds . 
 the blood levels among the highest exposed participants are generally higher than those observed in other studies of u.s . 
 contaminated - fish consumers and higher than average adipose tissue levels observed in u.s . urban populations . 
 there are sufficient animal toxicologic and human epidemiologic data to recommend that exposures be reduced . in the study area , 
 pentachlorophenol and pentachlorophenol incineration sources have been identified , and the animal contamination and blood elevations probably reflect these sources . 
 soil reference values and site - specific risk assessments should include estimates of exposures to contamination in home - produced animal products . 
 such estimates can be verified with limited pcdd / pcdf sampling of animals and humans.imagesfigure 1figure 2 ","home, eggs, residents, contaminated, elevations",compar serum polychlorin dibenzo p dioxin pcdd polychlorin dibenzofuran pcdf among resid two home level among age sex match comparison subject resid two home consum contamin egg beef anim rais home anim great soil contact rais convent commerci husbandri practic comparison subject similar rural area consum home produc beef egg serum level 237 8substitut tetra penta hexacdd penta hexa heptacdf increa 2 6fold resid one home contamin egg beef consum resid 2 15 year elev less index home home produc egg consum 2 year 3fold elev 123789hexacdd compar control appar strong bivari correl among 237 8 penta hexacdd cdf observ elev observ verifi pcdd pcdf contamin food contribut bodi burden compound blood level among high expo particip gener high observ studi we contamin fish consum high averag adipos tissu level observ we urban popul suffici anim toxicolog human epidemiolog datum recommend exposur reduc studi area pentachlorophenol pentachlorophenol inciner sourc identifi anim contamin blood elev probabl reflect sourc soil refer valu site specif risk assess includ estim exposur contamin home produc anim product estim verifi limit pcdd pcdf sampl anim humansimagesfigur 1figur 2
" we have previously demonstrated that rad6 and -catenin enhance each other 's expression through a positive feedback loop to promote breast cancer development / progression . while -catenin has been implicated in melanoma pathogenesis , rad6 function has not been investigated . here 
 , we examined the relationship between rad6 and -catenin in melanoma development and progression . 
 eighty - eight cutaneous tumors 
 , 30 nevi , 29 primary melanoma , and 29 metastatic melanomas , were immunostained with anti--catenin and anti - rad6 antibodies . strong expression of rad6 was observed in only 27% of nevi as compared to 100% of primary and 96% of metastatic melanomas . 
 -catenin was strongly expressed in 97% of primary and 93% of metastatic melanomas , and unlike rad6 , in 93% of nevi . 
 none of the tumors expressed nuclear -catenin . 
 -catenin was exclusively localized on the cell membrane of 55% of primary , 62% of metastatic melanomas , and only 10% of nevi . 
 cytoplasmic -catenin was detected in 90% of nevi , 17% of primary , and 8% of metastatic melanoma , whereas 28% of primary and 30% of metastatic melanomas exhibited -catenin at both locations . 
 these data suggest that melanoma development and progression are associated with rad6 upregulation and membranous redistribution of -catenin and that -catenin and rad6 play independent roles in melanoma development . ","catenin, rad6, melanoma, melanomas, nevi",previous demonstr rad6 catenin enhanc express posit feedback loop promot breast cancer develop progress catenin implic melanoma pathogenesi rad6 function investig examin relationship rad6 catenin melanoma develop progress eighti eight cutan tumor 30 nevi 29 primari melanoma 29 metastat melanoma immunostain anticatenin anti rad6 antibodi strong express rad6 observ 27 nevi compar 100 primari 96 metastat melanoma catenin strongli express 97 primari 93 metastat melanoma unlik rad6 93 nevi none tumor express nuclear catenin catenin exclus local cell membran 55 primari 62 metastat melanoma 10 nevi cytoplasm catenin detect 90 nevi 17 primari 8 metastat melanoma wherea 28 primari 30 metastat melanoma exhibit catenin locat datum suggest melanoma develop progress associ rad6 upregul membran redistribut catenin catenin rad6 play independ role melanoma develop
" upon oxidation of the heterocyclic 
 ring in 2-deoxyguanosine 
 ( dg ) , the initial electrophilic intermediate displays 
 a wide range of reactivities with nucleophiles leading to many downstream 
 products . in the present study , 
 the product profiles were mapped when 
 aqueous solutions of dg were allowed to react with nh4cl in the presence of the photooxidants riboflavin and rose 
 bengal as well as the diffusible one - electron oxidant na2ircl6 . 
 product characterization identified the 2-deoxyribonucleosides 
 of spiroiminodihydantoin , 5-guanidinohydantoin , and oxazolone resulting 
 from h2o as the nucleophile . 
 when nh3 was the 
 nucleophile , a set of constitutional isomers that are diastereotopic 
 were also observed , giving characteristic masses of dg + 31 . 
 esi+-ms / ms of these nh3 adducts identified 
 them to be spirocycles with substitution of either the c5 or c8 carbonyl 
 with an amine . 
 the nh3 adducts exhibit acid - catalyzed hydrolysis 
 to spiroiminodihydantoin . 
 quantification of the nh3 and 
 h2o adducts resulting from oxidation of dg in the nucleoside , single - stranded , and duplex oligodeoxynucleotide 
 contexts were monitored allowing mechanisms for product formation 
 to be proposed . 
 these data also provide a cautionary note to those 
 who purify their oligonucleotide samples with ammonium salts before 
 oxidation because this will lead to unwanted side reactions in which 
 ammonia participates in product formation . ","nh3, dg, product, oxidation, adducts",upon oxid heterocycl ring 2deoxyguanosin dg initi electrophil intermedi display wide rang reactiv nucleophil lead mani downstream product present studi product profil map aqueou solut dg allow react nh4cl presenc photooxid riboflavin rise bengal well diffus one electron oxid na2ircl6 product character identifi 2deoxyribonucleosid spiroiminodihydantoin 5guanidinohydantoin oxazolon result h2o nucleophil nh3 nucleophil set constitut isom diastereotop also observ give characterist mass dg 31 esim ms nh3 adduct identifi spirocycl substitut either c5 c8 carbonyl amin nh3 adduct exhibit acid catalyz hydrolysi spiroiminodihydantoin quantif nh3 h2o adduct result oxid dg nucleosid singl strand duplex oligodeoxynucleotid context monitor allow mechan product format propos datum also provid cautionari note purifi oligonucleotid sampl ammonium salt oxid lead unwant side reaction ammonia particip product format
" backgrounda review of the literature and an extensive medline search revealed that this is the first case report of the use of guaifenesin to increase sperm motility.casea 32-year - old male presented for an infertility evaluation . 
 he reported an inability to conceive with his wife after 18 months of unprotected intercourse . 
 a semen analysis was performed that included spermatozoa count , liquefaction , morphology , motility , viscosity and volume . 
 initial results of the semen analysis demonstrated low sperm count and motility . 
 the provider offered treatment with guaifenesin 600 mg extended release tablets twice daily . 
 two months after guaifenesin therapy the semen analysis was repeated that demonstrated marked improvement in both total sperm count and motility.conclusionevidence for the effectiveness of guaifenesin is almost entirely anecdotal . 
 given the mechanism of action of guaifenesin , it is not clear from this case why the patient demonstrated such a large improvement in both sperm count and motility . 
 additional studies of the effects of guaifenesin on male fertility could yield information of the medication s effect on men with normal or decreased total sperm counts . ","guaifenesin, motility, sperm, count, semen",backgrounda review literatur extens medlin search reveal first case report use guaifenesin increa sperm motilitycasea 32year old male present infertil evalu report inabl conceiv wife 18 month unprotect intercour seman analysi perform includ spermatozoa count liquefact morpholog motil viscos volum initi result seman analysi demonstr low sperm count motil provid offer treatment guaifenesin 600 mg extend relea tablet twice daili two month guaifenesin therapi seman analysi repeat demonstr mark improv total sperm count motilityconclusionevid effect guaifenesin almost entir anecdot give mechan action guaifenesin clear case patient demonstr larg improv sperm count motil addit studi effect guaifenesin male fertil could yield inform medic effect man normal decrea total sperm count
" this was a cross - sectional study that investigated pesticide exposure and its risk factors targeting vegetable farmers selected through cluster sampling . 
 the sampling size calculated with p = .05 was 211 vegetable farmers and 37 farms . 
 the mean usage of pesticide was 21.35 liters . 
 risk factors included damaged backpack sprayer ( 34.7% ) , spills on hands ( 31.8% ) , and spraying against the wind ( 58% ) . 
 the top 3 pesticides used were pyrethroid ( 46.4% ) , organophosphates ( 24.2% ) , and carbamates ( 21.3% ) . 
 those who were exposed to fungicides and insecticides also had higher total pesticide exposure . 
 furthermore , a farmer who was a pesticide applicator , mixer , loader , and who had not been given instructions through training was at risk of having higher pesticide exposure . 
 the most prevalent symptoms were headache ( 64.1% ) , muscle pain ( 61.1% ) , cough ( 45.5% ) , weakness ( 42.4% ) , eye pain ( 39.9% ) , chest pain ( 37.4% ) , and eye redness ( 33.8% ) . 
 the data can be used for the formulation of an integrated program on safety and health in the vegetable industry . ","pesticide, vegetable, exposure, farmers, pain",cross section studi investig pesticid exposur risk factor target veget farmer select cluster sampl sampl size calcul p 05 211 veget farmer 37 farm mean usag pesticid 2135 liter risk factor includ damag backpack sprayer 347 spill hand 318 spray wind 58 top 3 pesticid use pyrethroid 464 organophosph 242 carbam 213 expo fungicid insecticid also high total pesticid exposur furthermor farmer pesticid applic mixer loader give instruct train risk high pesticid exposur preval symptom headach 641 muscl pain 611 cough 455 weak 424 eye pain 399 chest pain 374 eye red 338 datum use formul integr program safeti health veget industri
" cardiac progenitor cells are multipotent stem cells isolated from both embryonic and adult hearts in several species and are able to differentiate at least into smooth muscle cells , endothelial cells and cardiomyocytes . 
 the embryonic origin of these cells has not yet been demonstrated , but it has been suggested that these cells may derive from the first and secondary heart fields and from the neural crest . in the last decade , 
 two different populations of cardiac progenitor or stem cells have been identified and isolated , i.e. , the islet1 positive ( isl1 + ) and c - kit positive ( c - kit+)/stem cell antigen-1 positive ( sca-1 + ) cells . until 2012 , 
 these two populations have been considered two separate entities with different roles and a different origin , but new evidence now suggests a connection between the two populations and that the two populations may represent two subpopulations of a unique pool of cardiac stem cells , derived from a common immature primitive cell . to find 
 a common consensus on this concept is very important in furthering the application of stem cells to cardiac tissue engineering . ","cells, stem, populations, cardiac, kit",cardiac progenitor cell multipot stem cell isol embryon adult heart sever speci abl differenti least smooth muscl cell endotheli cell cardiomyocyt embryon origin cell yet demonstr suggest cell may deriv first secondari heart field neural crest last decad two differ popul cardiac progenitor stem cell identifi isol ie islet1 posit isl1 c kit posit c kitstem cell antigen1 posit sca1 cell 2012 two popul consid two separ entiti differ role differ origin new evid suggest connect two popul two popul may repre two subpopul uniqu pool cardiac stem cell deriv common immatur primit cell find common consensu concept import far applic stem cell cardiac tissu engin
" objectiveprimary diffuse leptomeningeal gliomatosis ( pdlg ) is a rare neoplasm with a short survival time of a few months . 
 there is currently no standardized therapeutic approach for pdlg.materials and methodswe report on a 53-year - old male patient who presented with epileptic seizures , gait disturbance , paraparesis and sensory deficits in the dermatomes t8-10.resultsmagnetic resonance imaging ( mri ) revealing numerous spinal and cranial gadolinium - enhancing nodules in the meninges and histopathology led us to diagnose primary diffuse leptomeningeal gliomatosis with who grade iii astrocytic cells . 
 consecutively , the patient underwent craniospinal radiotherapy ( 30 gy ) and 11 sequential cycles of temozolomide . 
 this regimen led to partial tumor regression . 
 thirteen months later , spinal mri revealed tumor progression . second - line chemotherapy with 5 cycles of irinotecan and bevacizumab did not prevent further clinical deterioration . 
 the patient died twenty - two months after diagnosis , being the longest survival time described thus far with respect to pdlg consisting of astrocytic tumor cells.conclusionsradiochemotherapy including temozolomide , as established standard therapy for brain malignant astrocytomas , might be valid as a basic therapeutic strategy for this pdlg subtype . ","pdlg, astrocytic, gliomatosis, leptomeningeal, temozolomide",objectiveprimari diffus leptomene gliomatosi pdlg rare neoplasm short surviv time month current standard therapeut approach pdlgmateri methodsw report 53year old male patient present epilept seizur gait disturb paraparesi sensori deficit dermatom t810resultsmagnet reson imag mri reveal numer spinal cranial gadolinium enhanc nodul mene histopatholog lead we diagnos primari diffus leptomene gliomatosi grade iii astrocyt cell consecut patient underw craniospin radiotherapi 30 gy 11 sequenti cycl temozolomid regiman lead partial tumor regress thirteen month later spinal mri reveal tumor progress second line chemotherapi 5 cycl irinotecan bevacizumab prevent clinic deterior patient die twenti two month diagnosi long surviv time describ thu far respect pdlg consist astrocyt tumor cellsconclusionsradiochemotherapi includ temozolomid establish standard therapi brain malign astrocytoma might valid basic therapeut strategi pdlg subtyp
" purpose : to investigate to what degree the presence of hypertension ( htn ) and poor glycemic control ( gc ) influences the likelihood of having microalbuminuria ( mau ) among cuban americans with type 2 diabetes ( t2d).methods : a cross - sectional study conducted in cuban americans ( n = 179 ) with t2d . 
 participants were recruited from a randomly generated mailing list purchased from knowledge - base marketing , inc . 
 blood pressure ( bp ) was measured twice and averaged using an adult size cuff . 
 glycosylated hemoglobin ( a1c ) levels were measured from whole blood samples with the roche tina - quant method . 
 first morning urine samples were collected from each participant to determine mau by a semiquantitative assay ( immunodip).results : mau was present in 26% of cuban americans with t2d . 
 a significantly higher percentage of subjects with ma had htn ( p = 0.038 ) and elevated a1c ( p = 0.002 ) than those with normoalbuminuria . 
 logistic regression analysis showed that after controlling for covariates , subjects with poor gc were 6.76 times more likely to have mau if they had hypertension compared with those without hypertension ( p = 0.004 ; 95% confidence interval [ ci ] : 1.83 , 23.05).conclusion : the clinical significance of these findings emphasizes the early detection of mau in this hispanic subgroup combined with bp and good gc , which are fundamentals in preventing and treating diabetes complications and improving individuals renal and cardiovascular outcomes . ","mau, t2d, cuban, gc, americans",purpos investig degre presenc hyperten htn poor glycem control gc influenc likelihood microalbuminuria mau among cuban american type 2 diabet t2dmethod cross section studi conduct cuban american n 179 t2d particip recruit randomli gener mail list purchas knowledg base market inc blood pressur bp measur twice averag use adult size cuff glycosyl hemoglobin a1c level measur whole blood sampl roch tina quant method first morn urin sampl collect particip determin mau semiquantit assay immunodipresult mau present 26 cuban american t2d significantli high percentag subject htn p 0038 elev a1c p 0002 normoalbuminuria logist regress analysi show control covari subject poor gc 676 time like mau hyperten compar without hyperten p 0004 95 confid interv ci 183 2305conclus clinic signific find empha earli detect mau hispan subgroup combin bp good gc fundament prevent treat diabet complic improv individu renal cardiovascular outcom
" introduction : breast cancer accounts for 19 - 34% of all cancer cases among women in india . 
 there is high mortality due to late stage diagnosis as patients usually present at an advanced stage because of lack of awareness and nonexistent breast cancer screening programs . 
 early detection and prompt treatment offer the greatest chance of long - term survival and breast self - examination ( bse ) seems to be a important viable optional substitute for early detection of cancer.objectives:1 ) to assess the level of knowledge of degree college female students on bse . 
 2 ) to determine the effectiveness of planned teaching program among degree college female students on bse . 
 3 ) to find the association between pretest knowledge and selected demographic variables.materials and methods : pre - experimental one group pretestpost - test design was carried out among 40 degree female students by using cluster sampling method from selected colleges of udupi district.results:the data analyzed showed that majority ( 52% ) of them was in the age group of 18 - 19 years and 72% of them were had average knowledge on bse in the pretest score . 
 out of 40 participants only one student was performing bse occasionally.conclusions:awareness regarding breast self examination among young generations is useful and it is the most important viable tool for early detection . ","bse, breast, students, degree, cancer",introduct breast cancer account 19 34 cancer case among woman india high mortal due late stage diagnosi patient usual present advanc stage lack awar nonexist breast cancer screen program earli detect prompt treatment offer great chanc long term surviv breast self examin bse seem import viabl option substitut earli detect cancerobjectives1 assess level knowledg degre colleg femal student bse 2 determin effect plan teach program among degre colleg femal student bse 3 find associ pret knowledg select demograph variablesmateri method pre experiment one group pretestpost test design carri among 40 degre femal student use cluster sampl method select colleg udupi districtresultsth datum analyz show major 52 age group 18 19 year 72 averag knowledg bse pret score 40 particip one student perform bse occasionallyconclusionsawar regard breast self examin among young gener use import viabl tool earli detect
" the house dust mite dermatophagoides pteronyssinus allergen der p 1 is the most immunodominant allergen involved in the expression of dust mite  specific immunoglobulin ( ig)e  mediated hypersensitivity . 
 the reason for this potent ige - eliciting property of der p 1 remains unknown , but there is mounting in vitro evidence linking the allergenicity of der p 1 to its cysteine protease activity . 
 here we demonstrate for the first time that immunization of mice with proteolytically active der p 1 results in a significant enhancement in total ige and der p 1specific ige synthesis compared with animals immunized with der p 1 that was irreversibly blocked with the cysteine protease inhibitor e-64 . 
 we conclude that the proteolytic activity of der p 1 is a major contributor to its allergenicity . ","der, ige, cysteine, allergenicity, allergen",hous dust mite dermatophagoid pteronyssinu allergen der p 1 immunodomin allergen involv express dust mite specif immunoglobulin ige mediat hypersensit reason potent ige elicit properti der p 1 remain unknown mount vitro evid link allergen der p 1 cystein protea activ demonstr first time immun mouse proteolyt activ der p 1 result signific enhanc total ige der p 1specif ige synthesi compar anim immun der p 1 irrever block cystein protea inhibitor e64 conclud proteolyt activ der p 1 major contributor allergen
